epoch,train_loss,test_acc@1,test_acc@5
1,6.198630703820123,74.96026585753503,100.0
2,5.942050684066046,75.53821702066176,100.0
3,5.879377690572587,75.01806097384771,100.0
4,5.832926629081605,77.31541684727641,100.0
5,5.798364654419914,77.55382170206617,100.0
6,5.764091060275123,78.77474353417136,100.0
7,5.721566094292535,80.16905071521457,100.0
8,5.676119191305978,79.98121658719838,100.0
9,5.637054625011626,80.51582141309059,100.0
10,5.607045764014835,80.12570437798006,100.0
11,5.5906535481649735,79.8800751336512,100.0
12,5.581651089683412,81.17324086114724,100.0
13,5.566205955687023,82.4953041467996,100.0
14,5.5541503391568625,83.15272359485624,100.0
15,5.538007191249302,84.58315272359485,100.0
16,5.526373779962933,85.76795260800463,100.0
17,5.507793335687547,87.64629388816645,100.0
18,5.492311303577726,89.67634734864905,100.0
19,5.480257064577133,91.7641959254443,100.0
20,5.460140682402111,93.5197225834417,100.0
